path_id,path_name,gene_name,description
hsa00010,Glycolysis / Gluconeogenesis,ALDH3B1,aldehyde dehydrogenase 3 family member B1 [KO:K00129] [EC:1.2.1.5]
hsa00010,Glycolysis / Gluconeogenesis,ALDH3B2,aldehyde dehydrogenase 3 family member B2 [KO:K00129] [EC:1.2.1.5]
hsa00010,Glycolysis / Gluconeogenesis,ACSS2,acyl-CoA synthetase short chain family member 2 [KO:K01895] [EC:6.2.1.1]
hsa00010,Glycolysis / Gluconeogenesis,ACSS1,acyl-CoA synthetase short chain family member 1 [KO:K01895] [EC:6.2.1.1]
hsa00010,Glycolysis / Gluconeogenesis,GALM,galactose mutarotase [KO:K01785] [EC:5.1.3.3]
hsa00010,Glycolysis / Gluconeogenesis,PGM1,phosphoglucomutase 1 [KO:K01835] [EC:5.4.2.2]
hsa00010,Glycolysis / Gluconeogenesis,PGM2,phosphoglucomutase 2 [KO:K15779] [EC:5.4.2.2 5.4.2.7]
hsa00010,Glycolysis / Gluconeogenesis,G6PC1,glucose-6-phosphatase catalytic subunit 1 [KO:K01084] [EC:3.1.3.9]
hsa00010,Glycolysis / Gluconeogenesis,G6PC2,glucose-6-phosphatase catalytic subunit 2 [KO:K01084] [EC:3.1.3.9]
hsa00010,Glycolysis / Gluconeogenesis,G6PC3,glucose-6-phosphatase catalytic subunit 3 [KO:K01084] [EC:3.1.3.9]
hsa00010,Glycolysis / Gluconeogenesis,ADPGK,ADP dependent glucokinase [KO:K08074] [EC:2.7.1.147]
hsa00010,Glycolysis / Gluconeogenesis,BPGM,bisphosphoglycerate mutase [KO:K01837] [EC:5.4.2.4 5.4.2.11]
hsa00010,Glycolysis / Gluconeogenesis,MINPP1,multiple inositol-polyphosphate phosphatase 1 [KO:K03103] [EC:3.1.3.62 3.1.3.80]
hsa00010,Glycolysis / Gluconeogenesis,PCK1,phosphoenolpyruvate carboxykinase 1 [KO:K01596] [EC:4.1.1.32]
hsa00010,Glycolysis / Gluconeogenesis,PCK2,"phosphoenolpyruvate carboxykinase 2, mitochondrial [KO:K01596] [EC:4.1.1.32]"
hsa00020,Citrate cycle (TCA cycle),CS,citrate synthase [KO:K01647] [EC:2.3.3.1]
hsa00020,Citrate cycle (TCA cycle),ACLY,ATP citrate lyase [KO:K01648] [EC:2.3.3.8]
hsa00020,Citrate cycle (TCA cycle),ACO1,aconitase 1 [KO:K01681] [EC:4.2.1.3]
hsa00020,Citrate cycle (TCA cycle),ACO2,aconitase 2 [KO:K01681] [EC:4.2.1.3]
hsa00020,Citrate cycle (TCA cycle),IDH1,isocitrate dehydrogenase (NADP(+)) 1 [KO:K00031] [EC:1.1.1.42]
hsa00020,Citrate cycle (TCA cycle),IDH2,isocitrate dehydrogenase (NADP(+)) 2 [KO:K00031] [EC:1.1.1.42]
hsa00020,Citrate cycle (TCA cycle),IDH3A,isocitrate dehydrogenase (NAD(+)) 3 catalytic subunit alpha [KO:K00030] [EC:1.1.1.41]
hsa00020,Citrate cycle (TCA cycle),IDH3B,isocitrate dehydrogenase (NAD(+)) 3 non-catalytic subunit beta [KO:K00030] [EC:1.1.1.41]
hsa00020,Citrate cycle (TCA cycle),IDH3G,isocitrate dehydrogenase (NAD(+)) 3 non-catalytic subunit gamma [KO:K00030] [EC:1.1.1.41]
hsa00020,Citrate cycle (TCA cycle),OGDH,oxoglutarate dehydrogenase [KO:K00164] [EC:1.2.4.2]
hsa00020,Citrate cycle (TCA cycle),OGDHL,oxoglutarate dehydrogenase L [KO:K00164] [EC:1.2.4.2]
hsa00020,Citrate cycle (TCA cycle),DLST,dihydrolipoamide S-succinyltransferase [KO:K00658] [EC:2.3.1.61]
hsa00020,Citrate cycle (TCA cycle),DLD,dihydrolipoamide dehydrogenase [KO:K00382] [EC:1.8.1.4]
hsa00020,Citrate cycle (TCA cycle),SUCLG1,succinate-CoA ligase GDP/ADP-forming subunit alpha [KO:K01899] [EC:6.2.1.4 6.2.1.5]
hsa00020,Citrate cycle (TCA cycle),SUCLG2,succinate-CoA ligase GDP-forming subunit beta [KO:K01900] [EC:6.2.1.4 6.2.1.5]
hsa00020,Citrate cycle (TCA cycle),SUCLA2,succinate-CoA ligase ADP-forming subunit beta [KO:K01900] [EC:6.2.1.4 6.2.1.5]
hsa00020,Citrate cycle (TCA cycle),SDHA,succinate dehydrogenase complex flavoprotein subunit A [KO:K00234] [EC:1.3.5.1]
hsa00020,Citrate cycle (TCA cycle),SDHB,succinate dehydrogenase complex iron sulfur subunit B [KO:K00235] [EC:1.3.5.1]
hsa00020,Citrate cycle (TCA cycle),SDHC,succinate dehydrogenase complex subunit C [KO:K00236]
hsa00020,Citrate cycle (TCA cycle),SDHD,succinate dehydrogenase complex subunit D [KO:K00237]
hsa00020,Citrate cycle (TCA cycle),FH,fumarate hydratase [KO:K01679] [EC:4.2.1.2]
hsa00020,Citrate cycle (TCA cycle),MDH1,malate dehydrogenase 1 [KO:K00025] [EC:1.1.1.37]
hsa00020,Citrate cycle (TCA cycle),MDH2,malate dehydrogenase 2 [KO:K00026] [EC:1.1.1.37]
hsa00020,Citrate cycle (TCA cycle),PC,pyruvate carboxylase [KO:K01958] [EC:6.4.1.1]
hsa00020,Citrate cycle (TCA cycle),PCK1,phosphoenolpyruvate carboxykinase 1 [KO:K01596] [EC:4.1.1.32]
hsa00020,Citrate cycle (TCA cycle),PCK2,"phosphoenolpyruvate carboxykinase 2, mitochondrial [KO:K01596] [EC:4.1.1.32]"
hsa00020,Citrate cycle (TCA cycle),PDHA1,pyruvate dehydrogenase E1 subunit alpha 1 [KO:K00161] [EC:1.2.4.1]
hsa00020,Citrate cycle (TCA cycle),PDHA2,pyruvate dehydrogenase E1 subunit alpha 2 [KO:K00161] [EC:1.2.4.1]
hsa00020,Citrate cycle (TCA cycle),PDHB,pyruvate dehydrogenase E1 subunit beta [KO:K00162] [EC:1.2.4.1]
hsa00020,Citrate cycle (TCA cycle),DLAT,dihydrolipoamide S-acetyltransferase [KO:K00627] [EC:2.3.1.12]
hsa00030,Pentose phosphate pathway,GPI,glucose-6-phosphate isomerase [KO:K01810] [EC:5.3.1.9]
hsa00030,Pentose phosphate pathway,G6PD,glucose-6-phosphate dehydrogenase [KO:K00036] [EC:1.1.1.49 1.1.1.363]
hsa00030,Pentose phosphate pathway,PGLS,6-phosphogluconolactonase [KO:K01057] [EC:3.1.1.31]
hsa00030,Pentose phosphate pathway,H6PD,hexose-6-phosphate dehydrogenase/glucose 1-dehydrogenase [KO:K13937] [EC:1.1.1.47 3.1.1.31]
hsa00030,Pentose phosphate pathway,PGD,phosphogluconate dehydrogenase [KO:K00033] [EC:1.1.1.44 1.1.1.343]
hsa00030,Pentose phosphate pathway,RPE,ribulose-5-phosphate-3-epimerase [KO:K01783] [EC:5.1.3.1]
hsa00030,Pentose phosphate pathway,RPEL1,ribulose-5-phosphate-3-epimerase like 1 [KO:K01783] [EC:5.1.3.1]
hsa00030,Pentose phosphate pathway,TKT,transketolase [KO:K00615] [EC:2.2.1.1]
hsa00030,Pentose phosphate pathway,TKTL1,transketolase like 1 [KO:K00615] [EC:2.2.1.1]
hsa00030,Pentose phosphate pathway,TKTL2,transketolase like 2 [KO:K00615] [EC:2.2.1.1]
hsa00030,Pentose phosphate pathway,TALDO1,transaldolase 1 [KO:K00616] [EC:2.2.1.2]
hsa00030,Pentose phosphate pathway,RPIA,ribose 5-phosphate isomerase A [KO:K01807] [EC:5.3.1.6]
hsa00030,Pentose phosphate pathway,SHPK,sedoheptulokinase [KO:K11214] [EC:2.7.1.14]
hsa00030,Pentose phosphate pathway,DERA,deoxyribose-phosphate aldolase [KO:K01619] [EC:4.1.2.4]
hsa00030,Pentose phosphate pathway,RBKS,ribokinase [KO:K00852] [EC:2.7.1.15]
hsa00030,Pentose phosphate pathway,PGM1,phosphoglucomutase 1 [KO:K01835] [EC:5.4.2.2]
hsa00030,Pentose phosphate pathway,PGM2,phosphoglucomutase 2 [KO:K15779] [EC:5.4.2.2 5.4.2.7]
hsa00030,Pentose phosphate pathway,PRPS1L1,phosphoribosyl pyrophosphate synthetase 1 like 1 [KO:K00948] [EC:2.7.6.1]
hsa00030,Pentose phosphate pathway,PRPS1,phosphoribosyl pyrophosphate synthetase 1 [KO:K00948] [EC:2.7.6.1]
hsa00030,Pentose phosphate pathway,PRPS2,phosphoribosyl pyrophosphate synthetase 2 [KO:K00948] [EC:2.7.6.1]
hsa00030,Pentose phosphate pathway,RGN,regucalcin [KO:K01053] [EC:3.1.1.17]
hsa00030,Pentose phosphate pathway,IDNK,IDNK gluconokinase [KO:K00851] [EC:2.7.1.12]
hsa00030,Pentose phosphate pathway,GLYCTK,glycerate kinase [KO:K11529] [EC:2.7.1.165]
hsa00030,Pentose phosphate pathway,ALDOA,"aldolase, fructose-bisphosphate A [KO:K01623] [EC:4.1.2.13]"
hsa00030,Pentose phosphate pathway,ALDOB,"aldolase, fructose-bisphosphate B [KO:K01623] [EC:4.1.2.13]"
hsa00030,Pentose phosphate pathway,ALDOC,"aldolase, fructose-bisphosphate C [KO:K01623] [EC:4.1.2.13]"
hsa00030,Pentose phosphate pathway,FBP1,fructose-bisphosphatase 1 [KO:K03841] [EC:3.1.3.11]
hsa00030,Pentose phosphate pathway,FBP2,fructose-bisphosphatase 2 [KO:K03841] [EC:3.1.3.11]
hsa00030,Pentose phosphate pathway,PFKL,"phosphofructokinase, liver type [KO:K00850] [EC:2.7.1.11]"
hsa00030,Pentose phosphate pathway,PFKM,"phosphofructokinase, muscle [KO:K00850] [EC:2.7.1.11]"
hsa00030,Pentose phosphate pathway,PFKP,"phosphofructokinase, platelet [KO:K00850] [EC:2.7.1.11]"
hsa00040,Pentose and glucuronate interconversions,GUSB,glucuronidase beta [KO:K01195] [EC:3.2.1.31]
hsa00040,Pentose and glucuronate interconversions,KL,klotho [KO:K14756] [EC:3.2.1.31]
hsa00040,Pentose and glucuronate interconversions,UGT2B11,UDP glucuronosyltransferase family 2 member B11 [KO:K00699] [EC:2.4.1.17]
hsa00040,Pentose and glucuronate interconversions,UGT2A1,UDP glucuronosyltransferase family 2 member A1 complex locus [KO:K00699] [EC:2.4.1.17]
hsa00040,Pentose and glucuronate interconversions,UGT2B28,UDP glucuronosyltransferase family 2 member B28 [KO:K00699] [EC:2.4.1.17]
hsa00040,Pentose and glucuronate interconversions,UGT1A10,UDP glucuronosyltransferase family 1 member A10 [KO:K00699] [EC:2.4.1.17]
hsa00040,Pentose and glucuronate interconversions,UGT1A8,UDP glucuronosyltransferase family 1 member A8 [KO:K00699] [EC:2.4.1.17]
hsa00040,Pentose and glucuronate interconversions,UGT1A7,UDP glucuronosyltransferase family 1 member A7 [KO:K00699] [EC:2.4.1.17]
hsa00040,Pentose and glucuronate interconversions,UGT1A6,UDP glucuronosyltransferase family 1 member A6 [KO:K00699] [EC:2.4.1.17]
hsa00040,Pentose and glucuronate interconversions,UGT1A5,UDP glucuronosyltransferase family 1 member A5 [KO:K00699] [EC:2.4.1.17]
hsa00040,Pentose and glucuronate interconversions,UGT1A9,UDP glucuronosyltransferase family 1 member A9 [KO:K00699] [EC:2.4.1.17]
hsa00040,Pentose and glucuronate interconversions,UGT1A4,UDP glucuronosyltransferase family 1 member A4 [KO:K00699] [EC:2.4.1.17]
hsa00040,Pentose and glucuronate interconversions,UGT1A1,UDP glucuronosyltransferase family 1 member A1 [KO:K00699] [EC:2.4.1.17]
hsa00040,Pentose and glucuronate interconversions,UGT1A3,UDP glucuronosyltransferase family 1 member A3 [KO:K00699] [EC:2.4.1.17]
hsa00040,Pentose and glucuronate interconversions,UGT2A2,UDP glucuronosyltransferase family 2 member A2 [KO:K00699] [EC:2.4.1.17]
hsa00040,Pentose and glucuronate interconversions,UGT2B4,UDP glucuronosyltransferase family 2 member B4 [KO:K00699] [EC:2.4.1.17]
hsa00040,Pentose and glucuronate interconversions,UGT2B7,UDP glucuronosyltransferase family 2 member B7 [KO:K00699] [EC:2.4.1.17]
hsa00040,Pentose and glucuronate interconversions,UGT2B10,UDP glucuronosyltransferase family 2 member B10 [KO:K00699] [EC:2.4.1.17]
hsa00040,Pentose and glucuronate interconversions,UGT2B15,UDP glucuronosyltransferase family 2 member B15 [KO:K00699] [EC:2.4.1.17]
hsa00040,Pentose and glucuronate interconversions,UGT2B17,UDP glucuronosyltransferase family 2 member B17 [KO:K00699] [EC:2.4.1.17]
hsa00040,Pentose and glucuronate interconversions,UGT2A3,UDP glucuronosyltransferase family 2 member A3 [KO:K00699] [EC:2.4.1.17]
hsa00040,Pentose and glucuronate interconversions,UGDH,UDP-glucose 6-dehydrogenase [KO:K00012] [EC:1.1.1.22]
hsa00040,Pentose and glucuronate interconversions,UGP2,UDP-glucose pyrophosphorylase 2 [KO:K00963] [EC:2.7.7.9]
hsa00040,Pentose and glucuronate interconversions,AKR1A1,aldo-keto reductase family 1 member A1 [KO:K00002] [EC:1.1.1.2]
hsa00040,Pentose and glucuronate interconversions,CRYL1,crystallin lambda 1 [KO:K13247] [EC:1.1.1.45]
hsa00040,Pentose and glucuronate interconversions,RPE,ribulose-5-phosphate-3-epimerase [KO:K01783] [EC:5.1.3.1]
hsa00040,Pentose and glucuronate interconversions,RPEL1,ribulose-5-phosphate-3-epimerase like 1 [KO:K01783] [EC:5.1.3.1]
hsa00040,Pentose and glucuronate interconversions,XYLB,xylulokinase [KO:K00854] [EC:2.7.1.17]
hsa00040,Pentose and glucuronate interconversions,AKR1B1,aldo-keto reductase family 1 member B [KO:K00011] [EC:1.1.1.21]
hsa00040,Pentose and glucuronate interconversions,AKR1B15,aldo-keto reductase family 1 member B15 [KO:K00011] [EC:1.1.1.21]
hsa00040,Pentose and glucuronate interconversions,AKR1B10,aldo-keto reductase family 1 member B10 [KO:K00011] [EC:1.1.1.21]
hsa00040,Pentose and glucuronate interconversions,DCXR,dicarbonyl and L-xylulose reductase [KO:K03331] [EC:1.1.1.10]
hsa00040,Pentose and glucuronate interconversions,SORD,sorbitol dehydrogenase [KO:K00008] [EC:1.1.1.14]
hsa00040,Pentose and glucuronate interconversions,DHDH,dihydrodiol dehydrogenase [KO:K00078] [EC:1.3.1.20 1.1.1.179]
hsa00040,Pentose and glucuronate interconversions,FGGY,FGGY carbohydrate kinase domain containing [KO:K00875] [EC:2.7.1.47]
hsa00040,Pentose and glucuronate interconversions,CRPPA,CDP-L-ribitol pyrophosphorylase A [KO:K21031] [EC:2.7.7.40]
hsa00051,Fructose and mannose metabolism,MPI,mannose phosphate isomerase [KO:K01809] [EC:5.3.1.8]
hsa00051,Fructose and mannose metabolism,PMM1,phosphomannomutase 1 [KO:K17497] [EC:5.4.2.8]
hsa00051,Fructose and mannose metabolism,PMM2,phosphomannomutase 2 [KO:K17497] [EC:5.4.2.8]
hsa00051,Fructose and mannose metabolism,GMPPB,GDP-mannose pyrophosphorylase B [KO:K00966] [EC:2.7.7.13]
hsa00051,Fructose and mannose metabolism,GMPPA,GDP-mannose pyrophosphorylase A [KO:K00966] [EC:2.7.7.13]
hsa00051,Fructose and mannose metabolism,GMDS,"GDP-mannose 4,6-dehydratase [KO:K01711] [EC:4.2.1.47]"
hsa00051,Fructose and mannose metabolism,GFUS,GDP-L-fucose synthase [KO:K02377] [EC:1.1.1.271]
hsa00051,Fructose and mannose metabolism,FPGT,fucose-1-phosphate guanylyltransferase [KO:K00976] [EC:2.7.7.30]
hsa00051,Fructose and mannose metabolism,FCSK,fucose kinase [KO:K05305] [EC:2.7.1.52]
hsa00051,Fructose and mannose metabolism,ENOSF1,enolase superfamily member 1 [KO:K18334] [EC:4.2.1.68]
hsa00051,Fructose and mannose metabolism,HK1,hexokinase 1 [KO:K00844] [EC:2.7.1.1]
hsa00051,Fructose and mannose metabolism,HK2,hexokinase 2 [KO:K00844] [EC:2.7.1.1]
hsa00051,Fructose and mannose metabolism,HK3,hexokinase 3 [KO:K00844] [EC:2.7.1.1]
hsa00051,Fructose and mannose metabolism,HKDC1,hexokinase domain containing 1 [KO:K00844] [EC:2.7.1.1]
hsa00051,Fructose and mannose metabolism,PFKL,"phosphofructokinase, liver type [KO:K00850] [EC:2.7.1.11]"
hsa00051,Fructose and mannose metabolism,PFKM,"phosphofructokinase, muscle [KO:K00850] [EC:2.7.1.11]"
hsa00051,Fructose and mannose metabolism,PFKP,"phosphofructokinase, platelet [KO:K00850] [EC:2.7.1.11]"
hsa00051,Fructose and mannose metabolism,FBP1,fructose-bisphosphatase 1 [KO:K03841] [EC:3.1.3.11]
hsa00051,Fructose and mannose metabolism,FBP2,fructose-bisphosphatase 2 [KO:K03841] [EC:3.1.3.11]
hsa00051,Fructose and mannose metabolism,PFKFB1,"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 1 [KO:K19028] [EC:2.7.1.105 3.1.3.46]"
hsa00051,Fructose and mannose metabolism,PFKFB2,"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 2 [KO:K19029] [EC:2.7.1.105 3.1.3.46]"
hsa00051,Fructose and mannose metabolism,PFKFB3,"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3 [KO:K01103] [EC:2.7.1.105 3.1.3.46]"
hsa00051,Fructose and mannose metabolism,PFKFB4,"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 4 [KO:K19030] [EC:2.7.1.105 3.1.3.46]"
hsa00051,Fructose and mannose metabolism,TIGAR,TP53 induced glycolysis regulatory phosphatase [KO:K14634] [EC:3.1.3.46]
hsa00051,Fructose and mannose metabolism,KHK,ketohexokinase [KO:K00846] [EC:2.7.1.3]
hsa00051,Fructose and mannose metabolism,SORD,sorbitol dehydrogenase [KO:K00008] [EC:1.1.1.14]
hsa00051,Fructose and mannose metabolism,AKR1B1,aldo-keto reductase family 1 member B [KO:K00011] [EC:1.1.1.21]
hsa00051,Fructose and mannose metabolism,AKR1B15,aldo-keto reductase family 1 member B15 [KO:K00011] [EC:1.1.1.21]
hsa00051,Fructose and mannose metabolism,AKR1B10,aldo-keto reductase family 1 member B10 [KO:K00011] [EC:1.1.1.21]
hsa00051,Fructose and mannose metabolism,ALDOA,"aldolase, fructose-bisphosphate A [KO:K01623] [EC:4.1.2.13]"
hsa00051,Fructose and mannose metabolism,ALDOB,"aldolase, fructose-bisphosphate B [KO:K01623] [EC:4.1.2.13]"
hsa00051,Fructose and mannose metabolism,ALDOC,"aldolase, fructose-bisphosphate C [KO:K01623] [EC:4.1.2.13]"
hsa00051,Fructose and mannose metabolism,TPI1,triosephosphate isomerase 1 [KO:K01803] [EC:5.3.1.1]
hsa00051,Fructose and mannose metabolism,TKFC,triokinase and FMN cyclase [KO:K00863] [EC:2.7.1.28 2.7.1.29 4.6.1.15]
hsa00052,Galactose metabolism,GALM,galactose mutarotase [KO:K01785] [EC:5.1.3.3]
hsa00052,Galactose metabolism,GALK1,galactokinase 1 [KO:K00849] [EC:2.7.1.6]
hsa00052,Galactose metabolism,GALT,galactose-1-phosphate uridylyltransferase [KO:K00965] [EC:2.7.7.12]
hsa00052,Galactose metabolism,GALE,UDP-galactose-4-epimerase [KO:K01784] [EC:5.1.3.2]
hsa00052,Galactose metabolism,UGP2,UDP-glucose pyrophosphorylase 2 [KO:K00963] [EC:2.7.7.9]
hsa00052,Galactose metabolism,PGM1,phosphoglucomutase 1 [KO:K01835] [EC:5.4.2.2]
hsa00052,Galactose metabolism,PGM2,phosphoglucomutase 2 [KO:K15779] [EC:5.4.2.2 5.4.2.7]
hsa00052,Galactose metabolism,HK1,hexokinase 1 [KO:K00844] [EC:2.7.1.1]
hsa00052,Galactose metabolism,HK2,hexokinase 2 [KO:K00844] [EC:2.7.1.1]
hsa00052,Galactose metabolism,HK3,hexokinase 3 [KO:K00844] [EC:2.7.1.1]
hsa00052,Galactose metabolism,HKDC1,hexokinase domain containing 1 [KO:K00844] [EC:2.7.1.1]
hsa00052,Galactose metabolism,GCK,glucokinase [KO:K12407] [EC:2.7.1.2]
hsa00052,Galactose metabolism,G6PC1,glucose-6-phosphatase catalytic subunit 1 [KO:K01084] [EC:3.1.3.9]
hsa00052,Galactose metabolism,G6PC2,glucose-6-phosphatase catalytic subunit 2 [KO:K01084] [EC:3.1.3.9]
hsa00052,Galactose metabolism,G6PC3,glucose-6-phosphatase catalytic subunit 3 [KO:K01084] [EC:3.1.3.9]
hsa00052,Galactose metabolism,GLB1,galactosidase beta 1 [KO:K12309] [EC:3.2.1.23]
hsa00052,Galactose metabolism,LCT,lactase [KO:K01229] [EC:3.2.1.108 3.2.1.62]
hsa00052,Galactose metabolism,LALBA,lactalbumin alpha [KO:K00704] [EC:2.4.1.22]
hsa00052,Galactose metabolism,B4GALT1,"beta-1,4-galactosyltransferase 1 [KO:K07966] [EC:2.4.1.22 2.4.1.90 2.4.1.38 2.4.1.-]"
